Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2020,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,TOTAL
Motor vehicle and parts dealers,93268,97859,82677,69933,108267,115297,117069,116716,113641,115199,103632,116836,1250394
Automobile and other motor vehicle dealers,85823,90701,75298,63060,99909,106167,107972,107764,105034,106474,95696,108945,1152843
Automobile dealers,80728,84600,68585,56406,88089,93119,96612,97876,96650,98093,88868,101542,1051168
New car dealers,71757,74033,59312,50003,77564,81358,84406,85823,85704,87285,79030,92059,928334
Used car dealers,8971,10567,9273,6403,10525,11761,12206,12053,10946,10808,9838,9483,122834
"Automotive parts, acc., and tire stores",7445,7158,7379,6873,8358,9130,9097,8952,8607,8725,7936,7891,97551
"Furniture, home furn, electronics, and appliance stores",16993,16409,14150,7093,11455,15753,17623,18128,17778,17965,19642,21712,194701
Furniture and home furnishings stores,9257,9191,7881,3865,7136,9702,10315,10554,10611,10662,10718,11636,111528
Furniture stores,4904,5035,4288,1904,4056,5449,5680,5573,5819,5779,5621,5859,59967
Home furnishings stores,4353,4156,3593,1961,3080,4253,4635,4981,4792,0,0,0,31451
All other home furnishings stores,2408,2183,1436,390,1245,2059,2384,2426,2308,0,0,0,16839
Electronics and appliance stores,7736,7218,6269,3228,4319,6051,7308,7574,7167,7303,8924,10076,83173
Household appliance stores,1197,1204,1251,1104,1413,1649,1704,1726,1639,1701,1696,1741,18025
Electronics stores,6539,6014,5018,2124,2906,4402,5604,5848,5528,5602,7228,8335,65148
Building mat. and garden equip. and supplies dealers,27887,27164,33087,36783,43298,43165,40522,37793,38079,38769,35701,35528,437776
Building mat. and supplies dealers,24555,23883,28830,30743,36691,37309,35842,33633,33688,34103,31587,31028,381892
Paint and wallpaper stores,903,896,1012,884,1018,1157,1185,1134,1143,1127,944,882,12285
Hardware stores,1902,1806,2192,2623,3227,3091,2795,2670,2548,2549,2356,2579,30338
Food and beverage stores,63590,60983,79859,70115,75358,70808,74060,71363,68790,71050,70968,76181,853125
Grocery stores,57667,54814,72608,63230,67124,62756,65617,63293,60953,62915,62824,65773,759574
Supermarkets and other grocery (except convenience) stores,55178,52341,70095,61049,64517,60109,62808,60475,58309,60261,60340,63087,728569
"Beer, wine, and liquor stores",4388,4533,5521,5211,6263,6078,6423,6099,5855,6050,6086,7739,70246
Health and personal care stores,30047,28746,32025,26709,27757,29726,30764,30431,30927,31896,30301,35387,364716
Pharmacies and drug stores,25209,23934,27839,24749,24923,25841,26334,25913,26405,27423,25626,29181,313377
Gasoline stations,38940,36263,33586,26282,31431,35611,38139,37966,36498,37401,33711,35911,421739
Clothing and clothing access. stores,16612,18813,10833,2904,8748,15645,16973,18138,18031,19187,20228,30427,196539
Clothing stores,12060,13058,7443,1923,5659,10647,11626,12497,12497,13611,14423,18966,134410
Men's clothing stores,550,527,267,90,146,254,364,326,358,0,0,520,3402
Women's clothing stores,2532,2797,1564,495,1148,2068,2439,2440,2557,2690,2795,3520,27045
Family clothing stores,6953,7557,4264,704,2993,6728,6857,7666,7520,8402,8836,11889,80369
Other clothing stores,1103,1185,791,433,836,963,1152,1125,1088,1090,1275,1511,12552
Shoe stores,2293,2873,1730,424,1480,2446,2497,2523,2414,2435,2384,3498,26997
Jewelry stores,1981,0,0,0,0,0,0,0,0,0,0,0,1981
"Sporting goods, hobby, musical instrument, and book stores",5807,5573,5190,3381,6143,8117,7761,8000,7604,7492,8180,11015,84263
Sporting goods stores,2857,2972,3293,2453,4120,5555,5121,4886,4552,4446,4380,6433,51068
"Hobby, toy, and game stores",1156,1180,852,357,1101,1395,1383,1481,1554,1646,2370,2572,17047
Book stores,956,573,392,163,270,382,432,753,608,446,485,880,6340
